FoodID,MeasureID,ConversionFactorValue,ConvFactorDateOfEntry
2,341,0.40152,1997-05-01
2,383,0.50190,2003-08-12
2,415,1.00380,2003-08-12
4,341,0.92984,2004-06-10
4,383,1.16230,2004-06-10
4,415,2.32460,2004-06-10
5,341,0.92989,2014-09-12
5,383,1.16236,2014-09-12
5,415,2.32472,2014-09-12
5,502462,6.04000,2012-10-24
6,108,0.35000,1997-05-01
6,341,0.45224,1997-05-01
6,383,0.56530,2003-09-10
6,415,1.13060,2003-09-10
6,1461,0.55000,2004-03-15
7,1457,1.40000,2004-08-27
8,1457,1.40000,2004-08-27
9,1607,1.95000,2005-02-10
10,1457,1.40000,2004-08-27
13,341,1.01437,2002-09-25
13,383,1.26789,2003-03-14
13,385,0.15101,2002-09-25
13,439,0.05068,2003-03-14
14,341,1.01437,2003-03-14
14,383,1.26796,2003-03-14
14,385,0.15101,2003-03-14
14,439,0.05068,2003-03-14
16,341,0.63824,2014-01-17
16,385,0.09574,2014-01-17
16,439,0.03190,2014-01-17
16,966,0.03800,1997-05-01
16,1573,0.10000,2004-07-06
17,341,0.86649,2014-01-17
17,385,0.12973,2002-09-19
17,439,0.04324,2003-03-06
17,1573,0.10000,2004-07-06
18,344,0.57058,1997-05-01
18,975,1.42646,2003-03-06
18,990,0.50000,2003-03-13
18,1454,0.30000,2004-02-11
19,348,0.55790,1997-05-01
19,368,0.47760,1997-05-01
19,976,1.39476,2003-03-06
19,977,1.19399,2003-03-06
19,990,0.50000,2003-03-13
19,1454,0.30000,2004-02-11
20,358,1.01442,2014-01-28
20,371,0.60862,1997-05-01
20,978,2.53605,2014-01-28
20,979,1.52156,2003-03-06
20,990,0.50000,2003-03-13
20,1454,0.30000,2004-02-12
21,341,1.03970,2002-09-19
21,415,2.59932,2003-03-06
21,990,0.50000,2003-03-13
21,1454,0.30000,2005-02-10
22,348,0.55790,2004-01-14
22,368,0.47760,2004-01-14
22,990,0.50000,2003-03-13
22,1454,0.30000,2004-02-13
23,348,0.55790,2004-01-14
23,368,0.47760,2004-01-14
23,990,0.50000,2003-03-13
23,1454,0.30000,2004-02-13
24,348,0.55790,1997-05-01
24,368,0.47760,1997-05-01
24,976,1.39476,2003-03-06
24,977,1.19399,2003-03-06
24,990,0.50000,2003-03-13
24,1454,0.30000,2004-02-13
25,355,0.88757,2003-03-06
25,619,0.95097,2003-03-06
25,972,1.10947,2003-03-06
25,973,1.18872,2003-03-06
25,981,2.21893,2003-03-06
25,982,2.37743,2003-03-06
25,1489,1.25000,2004-07-06
26,376,0.95520,1997-05-01
26,974,1.19399,2003-03-06
26,983,2.38799,2003-03-06
26,1489,1.25000,2004-07-21
27,376,0.61285,1997-05-01
27,974,0.76606,2003-03-06
27,983,1.53212,2003-03-06
27,1489,1.25000,2004-07-06
28,341,0.97973,2014-01-28
28,385,0.14696,2014-01-28
28,415,2.45150,2014-01-28
28,428,0.29392,2014-01-28
28,990,0.50000,2003-03-13
28,1454,0.30000,2010-07-27
29,348,0.55790,1997-05-01
29,990,0.50000,2003-03-13
29,994,1.39475,2003-03-13
29,1454,0.30000,2004-02-13
30,348,0.55790,2008-02-22
30,368,0.45647,1997-05-01
30,976,1.39476,2003-03-06
30,977,1.14117,2003-03-06
30,990,0.50000,2003-03-13
30,1454,0.30000,2004-02-13
31,348,0.55790,1997-05-01
31,415,1.39475,2003-03-13
31,990,0.50000,2003-03-13
31,1454,0.30000,2004-07-06
32,348,0.55790,1997-05-01
32,368,0.45647,1997-05-01
32,976,1.39476,2003-03-06
32,977,1.14117,2003-03-06
32,990,0.50000,2003-03-13
32,1454,0.30000,2004-07-06
33,341,0.56636,1997-05-01
33,415,1.41589,2003-03-06
33,990,0.50000,2003-03-13
33,1454,0.30000,2004-02-13
34,348,0.55790,1997-05-01
34,368,0.47760,1997-05-01
34,976,1.39476,2003-03-06
34,977,1.14117,2003-03-06
34,990,0.50000,2003-03-13
34,1454,0.30000,2004-02-13
35,368,0.47337,2003-03-06
35,977,1.18343,2003-03-06
35,990,0.50000,2003-03-13
35,1454,0.30000,2004-02-13
37,348,0.55790,1997-05-01
37,368,0.47760,1997-05-01
37,976,1.39476,2003-03-06
37,977,1.14117,2003-03-06
37,990,0.50000,2003-03-13
37,1454,0.30000,2004-02-13
38,341,1.01440,2006-07-14
38,385,0.15216,2004-02-03
38,990,0.50000,2003-03-13
38,1454,0.30000,2004-07-06
39,353,0.42265,1997-05-01
39,385,0.06340,2003-03-06
39,415,1.05664,2003-03-06
39,990,0.50000,2003-03-13
39,1467,0.15000,2004-07-06
40,341,0.42270,2008-02-22
40,385,0.05068,2004-05-03
40,990,0.50000,2003-03-13
40,1467,0.15000,2004-07-06
41,348,0.55790,1997-05-01
41,368,0.47760,1997-05-01
41,976,1.39476,2003-03-06
41,977,1.14117,2003-03-06
41,990,0.50000,2003-03-13
41,1454,0.30000,2004-02-13
42,245,0.28000,2002-09-19
42,348,0.55790,2002-09-19
42,976,1.39476,2003-03-06
42,990,0.50000,2003-03-13
42,1454,0.30000,2004-02-13
43,341,1.04820,2014-01-28
43,383,1.31029,2014-01-28
43,415,2.62059,2014-01-28
43,1455,1.00000,2004-02-13
44,341,1.03973,1997-05-01
44,383,1.31023,2003-03-06
44,415,2.59932,2003-03-06
44,1455,1.00000,2004-02-13
45,353,0.42265,1997-05-01
45,385,0.06340,2007-06-15
45,415,1.05663,2003-03-07
45,990,0.50000,2003-03-13
45,1467,0.15000,2004-07-07
46,344,0.57058,1997-05-01
46,415,1.42645,2003-03-07
46,990,0.50000,2003-03-13
46,1454,0.30000,2004-02-13
47,348,0.55790,1997-05-01
47,368,0.45647,1997-05-01
47,976,1.39476,2003-03-07
47,977,1.14117,2003-03-07
47,978,2.57819,2003-03-07
47,990,0.50000,2003-03-13
47,1454,0.30000,2005-02-10
48,348,0.55790,1997-05-01
48,368,0.47760,1997-05-01
48,976,1.39475,2003-03-07
48,977,1.19400,2003-03-07
48,990,0.50000,2003-03-13
48,1454,0.30000,2004-02-13
51,341,1.03128,2004-02-03
51,415,2.57819,2004-02-03
51,990,0.50000,2003-03-13
51,1454,0.30000,2004-07-07
52,245,0.20833,2008-09-12
52,348,0.59172,2004-01-14
52,368,0.47760,2004-01-14
52,990,0.50000,2003-03-13
52,1454,0.30000,2004-02-13
54,341,0.25359,1999-06-16
54,385,0.03041,2003-03-07
54,415,0.63398,2003-03-07
54,640,0.15215,2007-06-15
54,1467,0.15000,2004-07-07
55,341,1.07354,1999-06-16
55,383,1.34193,2004-02-13
55,415,2.68385,2003-03-07
55,502468,0.90000,2012-08-14
56,341,1.01437,1999-06-16
56,385,0.15216,2003-03-07
56,415,2.53593,2003-03-07
56,866,0.15000,2014-01-28
56,1467,0.15000,2004-07-07
57,341,0.39730,2000-11-07
57,383,0.49660,2004-07-07
57,385,0.05960,2000-11-07
58,341,0.33812,1999-06-16
58,383,0.42265,2004-07-07
58,385,0.05072,2004-02-03
58,415,0.84531,2003-03-07
58,1467,0.15000,2010-07-27
59,341,0.29586,1999-06-16
59,383,0.36982,2004-07-07
59,385,0.04438,2004-02-03
59,415,0.73964,2003-03-07
59,640,0.17752,2007-06-15
59,1467,0.15000,2010-07-27
60,341,0.31699,1999-06-16
60,383,0.39624,2004-07-07
60,385,0.04755,2004-02-03
60,415,0.79248,2003-03-07
60,640,0.19019,2007-06-15
60,1467,0.15000,2010-07-27
61,341,1.03128,1999-06-02
61,415,2.57819,2003-03-07
63,341,1.03128,1999-06-03
63,415,2.57819,2003-03-07
66,341,0.54100,1997-05-01
66,385,0.08115,2003-03-07
66,415,1.35249,2003-03-07
66,1574,0.25000,2004-07-07
67,341,0.50719,1997-05-01
67,385,0.07608,2004-02-03
67,415,1.26796,2003-03-12
68,341,1.29332,1999-06-03
68,385,0.19399,2004-02-13
68,415,3.23331,2003-03-12
68,428,0.38797,2004-02-13
69,341,1.05664,1999-06-03
69,415,2.64159,2003-03-12
70,341,1.05664,1999-06-03
70,415,2.64159,2003-03-12
71,341,1.05664,1999-06-03
71,389,1.84910,2010-07-27
71,415,2.64159,2003-03-12
72,341,1.03128,1999-06-03
72,415,2.57819,2003-03-12
73,341,1.03973,1999-06-03
73,415,2.59932,2003-03-12
74,341,1.03550,1999-06-03
74,415,2.58876,2003-03-12
75,341,0.96030,2008-02-22
75,415,2.40080,2008-02-22
76,341,0.96030,2008-02-22
76,415,2.40080,2008-02-22
77,341,1.03973,1999-06-16
77,415,2.59932,2003-03-12
78,341,0.24091,1997-05-01
78,385,0.03614,2004-02-03
78,415,0.60228,2003-03-12
79,341,1.03973,1999-06-16
79,415,2.59932,2003-03-12
80,341,0.61285,1997-05-01
80,385,0.09193,2004-02-03
80,415,1.53212,2003-03-12
83,370,0.35926,1997-05-01
83,988,0.89814,2003-03-12
83,989,0.05388,2004-02-03
84,370,0.35926,1997-05-01
84,988,0.89814,2003-03-12
84,989,0.05388,2004-02-03
86,370,0.45224,1997-05-01
86,988,1.13060,2003-03-12
87,370,0.28318,1997-05-01
87,988,0.70795,2003-03-12
87,989,0.04248,2004-02-03
88,90,0.70000,1997-05-01
88,990,0.50000,2003-03-13
89,90,1.44000,1997-05-01
89,990,0.50000,2003-03-13
89,1611,0.72000,2004-09-01
90,90,0.09000,1997-05-01
90,990,0.50000,2003-03-12
90,1612,0.90000,2006-11-29
91,90,0.79000,2006-11-29
91,990,0.50000,2003-03-12
92,284,1.13500,2013-06-24
92,341,0.95943,2004-05-03
92,385,0.14392,2002-09-19
92,415,2.39856,2004-05-03
92,966,0.05000,1997-05-01
92,1573,0.10000,2004-07-07
93,341,0.42265,2008-02-25
93,385,0.05068,2002-08-06
93,415,1.05660,2008-02-25
93,990,0.50000,2003-03-13
93,1467,0.15000,2004-07-07
96,344,0.63400,2008-02-28
96,415,1.58500,2008-02-28
96,990,0.50000,2003-03-13
96,1454,0.30000,2004-07-07
97,344,0.63400,2008-02-28
97,415,1.58500,2008-02-28
97,990,0.50000,2004-07-07
97,1454,0.30000,2004-07-07
98,344,0.63400,2008-02-28
98,415,1.58500,2008-02-28
98,990,0.50000,2003-03-13
98,1454,0.30000,2004-07-07
100,341,0.90871,1999-06-16
100,383,1.13588,2003-03-13
100,415,2.27177,2003-03-13
100,640,0.54523,2004-09-14
100,990,0.50000,2003-03-13
100,1455,1.00000,2004-07-07
101,341,1.02705,1999-06-16
101,415,2.56763,2003-03-13
101,640,0.61623,2003-03-13
102,344,0.55790,1997-05-01
102,415,1.39476,2003-03-13
102,990,0.50000,2003-03-13
102,1454,0.30000,2004-02-13
103,348,0.55790,1997-05-01
103,368,0.47760,1997-05-01
103,990,0.50000,2003-03-13
103,994,1.39476,2003-03-13
103,995,1.19400,2003-03-13
103,1454,0.30000,2004-02-13
104,348,0.55790,1997-05-01
104,368,0.47760,1997-05-01
104,990,0.50000,2003-03-13
104,994,1.39476,2003-03-13
104,995,1.19400,2003-03-13
104,1454,0.30000,2004-02-13
105,348,0.55790,1997-05-01
105,368,0.47760,1997-05-01
105,990,0.50000,2003-03-13
105,994,1.39476,2003-03-13
105,995,1.19400,2003-03-13
105,1454,0.30000,2004-07-07
106,348,0.55790,1997-05-01
106,368,0.47760,1997-05-01
106,990,0.50000,2003-03-13
106,994,1.39476,2003-03-13
106,995,1.19400,2003-03-13
106,1454,0.30000,2004-02-13
107,376,0.95520,1997-05-01
107,383,1.19399,2004-07-07
107,983,2.38800,2003-03-13
107,1489,1.25000,2004-07-07
108,344,0.63398,1997-05-01
108,990,0.50000,2003-03-13
108,997,1.58495,2003-03-13
108,1454,0.30000,2004-02-13
109,348,0.55790,1997-05-01
109,990,0.50000,2003-03-13
109,994,1.39750,2003-03-13
109,1454,0.30000,2004-02-13
110,348,0.55790,1997-05-01
110,368,0.47760,1997-05-01
110,990,0.50000,2003-03-13
110,994,1.39475,2003-03-13
110,995,1.18343,2003-03-13
110,1454,0.30000,2004-02-13
111,348,0.55790,1997-05-01
111,368,0.47760,1997-05-01
111,990,0.50000,2003-03-13
111,994,1.39476,2003-03-13
111,995,1.19400,2003-03-13
111,1454,0.30000,2004-02-13
112,341,1.08199,1999-06-03
112,383,1.33136,2006-07-13
112,385,0.16229,2004-07-07
112,415,2.70499,2003-11-26
113,341,1.03128,1999-06-03
113,415,2.57819,2003-03-13
114,341,1.03550,1999-06-03
114,415,2.58876,2003-03-13
115,341,0.28940,1997-05-01
115,383,0.35926,2003-03-13
115,415,0.71851,2003-03-13
115,439,0.01447,2007-06-15
115,1574,0.25000,2004-07-07
116,341,1.05664,1999-06-03
116,383,1.32080,2003-11-26
116,389,1.84910,2010-07-27
116,415,2.64160,2003-11-26
117,91,0.60862,1997-05-01
117,341,1.01437,2004-05-03
117,383,1.26796,2010-01-06
117,415,2.53593,2003-03-13
117,990,0.50000,2004-08-31
117,1608,0.99000,2006-11-29
118,284,1.13500,2013-06-24
118,341,0.95947,2003-09-09
118,385,0.14392,2002-09-19
118,415,2.39856,2004-05-03
118,439,0.04790,2007-08-14
118,966,0.05000,1997-05-01
118,1573,0.10000,2004-07-07
119,348,0.55790,2002-09-19
119,358,1.03128,2002-09-19
119,368,0.47760,1997-05-01
119,990,0.50000,2003-03-13
119,994,1.39476,2003-03-13
119,995,1.19400,2003-03-13
119,996,2.57819,2003-03-13
119,1454,0.30000,2004-02-13
120,376,0.95520,1997-05-01
120,383,1.19399,2004-07-07
120,983,2.38800,2003-03-13
120,1489,1.25000,2005-02-10
122,341,0.39730,1999-06-03
122,385,0.05959,2004-05-03
122,439,0.01987,2007-08-17
122,801,0.03000,2004-05-03
122,1576,0.02000,2004-07-07
123,341,1.03128,1999-06-03
123,415,2.57819,2003-03-13
124,341,1.03550,1999-06-03
124,415,2.58876,2003-03-13
125,142,0.52680,2007-06-18
125,341,1.02705,2004-05-03
125,383,1.28381,2003-03-13
125,415,2.56762,2003-03-13
125,556,0.41580,2007-06-18
125,941,0.58130,2007-06-18
125,942,0.46390,2007-06-18
125,990,0.50000,2004-08-31
125,992,0.64820,2007-06-18
125,1609,1.05360,2007-06-18
125,1672,0.33490,2007-06-20
126,142,0.33000,2004-05-04
126,341,1.02705,1999-06-16
126,383,1.28381,2003-03-13
126,415,2.56763,2003-03-13
126,556,0.28770,2007-06-20
126,941,0.39880,2007-06-20
126,942,0.32370,2007-06-20
126,990,0.50000,2004-08-31
126,992,0.46260,2007-06-20
126,1608,0.99000,2006-11-29
126,1672,0.23800,2007-06-20
127,142,0.16140,2007-06-20
127,341,1.02705,1999-06-16
127,383,1.28381,2003-03-13
127,415,2.56763,2003-03-13
