FoodID,FoodCode,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,FoodDateOfEntry,FoodDateOfPublication,CountryCode,ScientificName
2,2,22,20,Cheese souffle,Soufflé au fromage,1981-01-01,,,
4,4,22,20,"Chop suey, with meat, canned","Chop suey, avec viande, conserve",1981-01-01,,,
5,5,22,0,"Chinese dish, chow mein, chicken","Mets chinois, chow mein, poulet",1981-01-01,,36623,
6,6,18,20,Corn fritter,"Maïs, beignet",1981-01-01,,,
7,7,22,36,"Beef pot roast, with browned potatoes, peas and corn","Boeuf braisé, avec pomme de terre au four, pois et maïs",1981-01-01,,,
8,8,22,30,"Fried chicken, mashed potatoes and vegetables",Poulet frit avec pommes de terre en purée et légumes,1981-01-01,,,
9,9,22,30,"Meat loaf with tomato sauce, mashed potatoes and peas","Pain de viande avec sauce aux tomates, pommes de terre en purée et pois",1981-01-01,,,
10,10,22,30,Sliced turkey with mashed potatoes and peas,Dinde tranchée avec pommes de terre en purée et pois,1981-01-01,,,
13,13,2,20,"Vinegar, cider","Vinaigre, cidre",1981-01-01,,02048,
14,14,2,0,"Vinegar, distilled (white)","Vinaigre, distillé (blanc)",1981-01-01,,02053,
16,16,1,0,"Butter, whipped",Beurre fouetté,1981-01-01,,01002,
17,17,1,0,"Butter oil, anhydrous","Huile de beurre, anhydre",1981-01-01,,01003,
18,18,1,3,"Cheese, blue",Fromage bleu,1981-01-01,,01004,
19,19,1,0,"Cheese, brick",Fromage brick,1981-01-01,,01005,
20,20,1,0,"Cheese, brie",Fromage brie,1981-01-01,,01006,
21,21,1,0,"Cheese, camembert",Fromage camembert,1981-01-01,,01007,
22,22,1,0,"Cheese, caraway",Fromage carvi,1981-01-01,,01008,
23,23,1,0,"Cheese, cheshire",Fromage cheshire,1981-01-01,,01010,
24,24,1,0,"Cheese, colby",Fromage colby,1981-01-01,,01011,
25,25,1,0,"Cheese, cottage, creamed (4.5% M.F.)","Fromage cottage en crème (4,5% M.G.)",1981-01-01,,01012,
26,26,1,0,"Cheese, cottage, creamed with fruit",Fromage cottage en crème avec fruits,1981-01-01,,01013,
27,27,1,0,"Cheese, cottage, uncreamed, dry curd (0.4% M.F.)","Fromage cottage sec pressé (0,4% M.G.)",1981-01-01,,01014,
28,28,1,3,"Cheese, cream",Fromage à la crème,1981-01-01,,01017,
29,29,1,0,"Cheese, edam",Fromage edam,1981-01-01,,01018,
30,30,1,0,"Cheese, fontina",Fromage fontina,1981-01-01,,01020,
31,31,1,0,"Cheese, gjetost",Fromage gjetost,1981-01-01,,01021,
32,32,1,0,"Cheese, gruyere",Fromage gruyère,1981-01-01,,01023,
33,33,1,3,"Cheese, limburger",Fromage limburger (limbourg),1981-01-01,,01024,
34,34,1,3,"Cheese, monterey",Fromage monterey,1981-01-01,,01025,
35,35,1,0,"Cheese, mozzarella, (48% water, 25% M.F.)","Fromage mozzarella (48%d'humidité, 25% M.G.)",1981-01-01,,01027,
37,37,1,0,"Cheese, muenster",Fromage muenster,1981-01-01,,01030,
38,38,1,0,"Cheese, neufchatel",Fromage neufchatel,1981-01-01,,01031,
39,39,1,0,"Cheese, parmesan, dry grated","Fromage parmesan, râpé",1981-01-01,,01032,
40,40,1,3,"Cheese, parmesan, hard","Fromage parmesan, pâte dure",1981-01-01,,01033,
41,41,1,0,"Cheese, port-salut",Fromage port-salut,1981-01-01,,01034,
42,42,1,0,"Cheese, provolone",Fromage provolone,1981-01-01,,01035,
43,43,1,0,"Cheese, ricotta, with whole milk","Fromage ricotta, avec lait entier",1981-01-01,,01036,
44,44,1,0,"Cheese, ricotta, with partly skimmed milk","Fromage ricotta, avec lait partiellement écrémé",1981-01-01,,01037,
45,45,1,3,"Cheese, romano",Fromage romano,1981-01-01,,01038,
46,46,1,0,"Cheese, roquefort (blue)",Fromage roquefort (bleu),1981-01-01,,01039,
47,47,1,3,"Cheese, swiss (emmental)",Fromage suisse (emmental),1981-01-01,,01040,
48,48,1,3,"Cheese, tilsit, with whole milk","Fromage tilsit, avec lait entier",1981-01-01,,01041,
51,51,1,0,"Cheese, processed, cheddar, cold pack","Fromage fondu, préparation, cheddar, conditionné à froid",1981-01-01,,01045,
52,52,1,0,"Cheese, processed food, swiss, loaf","Fromage fondu, préparation, Suisse, pain",1981-01-01,,01047,
54,54,1,0,"Cream, whipped, cream topping, pressurized","Crème, garniture fouettée, sous pression (bombe)",1981-01-01,,01054,
55,55,1,0,"Eggnog, 7% M.F., Canadian product, 4% to 8% M.F.","Lait de poule, 7% M.G., produit canadien, 4% à 8% M.G.",1981-01-01,,01057,
56,56,1,0,"Coffee whitener (non dairy), liquid","Colorant à café (non laitier), liquide",1981-01-01,,01067,
57,57,1,0,"Dessert topping (non dairy), powdered","Garniture à dessert (non laitière), poudre",1981-01-01,,01070,
58,58,1,0,"Dessert topping (non dairy), powdered, prepared with whole milk","Garniture à dessert (non laitière), poudre, préparée avec lait entier",1981-01-01,,01071,
59,59,1,0,"Dessert topping (non dairy), pressurized","Garniture à dessert (non laitière), sous pression (bombe)",1981-01-01,,01072,
60,60,1,0,"Dessert topping (non dairy), frozen, semisolid","Garniture à dessert (non laitière), congelée, semi-solide",1981-01-01,,01073,
61,61,1,0,"Milk, fluid, partly skimmed, 2% M.F.","Lait, partiellement écrémé, liquide, 2% M.G.",1981-01-01,,01079,
63,63,1,0,"Milk, fluid, partly skimmed, 1% M.F.","Lait, liquide, partiellement écrémé, 1% M.G.",1989-01-01,,01082,
66,66,1,1,"Milk, dry whole","Lait, poudre, entier",1981-01-01,,01090,
67,67,1,0,"Milk, dry, buttermilk, sweet cream","Babeurre, poudre, crème douce",1981-01-01,,01094,
68,68,1,3,"Milk, condensed, sweetened, canned","Lait, concentré, sucré, conserve",1981-01-01,,01095,
69,69,1,0,"Milk, fluid, chocolate, whole","Lait, liquide, chocolat, entier",1981-01-01,,01102,
70,70,1,0,"Milk, fluid, chocolate, partly skimmed, 2% M.F.","Lait, liquide, chocolat, partiellement écrémé, 2% M.G.",1981-01-01,,01103,
71,71,14,1,"Hot chocolate, cocoa, homemade, prepared with 2% milk","Chocolat chaud, cacao, fait maison, préparé avec lait 2% m.g.",1995-01-01,,01105,
72,72,1,0,"Milk, fluid, goat, enriched, whole","Lait, liquide, chèvre, enrichi, entier",1981-01-01,,01106,
73,73,1,0,"Milk, fluid, human (breast milk), mature","Lait, liquide, humain (lait maternel), mature, entier",1981-01-01,,01107,
74,74,1,0,"Milk, fluid, sheep, whole","Lait, liquide, brebis, entier",1981-01-01,,01109,
75,75,14,1,"Milk shake, chocolate, thick","Lait frappé, chocolat, épais",1981-01-01,,01110,
76,76,14,1,"Milk shake, vanilla, thick","Lait frappé, vanille, épais",1981-01-01,,01111,
77,77,1,0,"Whey, acid, fluid","Lactoserum, acide, liquide",1981-01-01,,01112,
78,78,1,0,"Whey, acid, dry","Lactoserum, acide, poudre",1981-01-01,,01113,
79,79,1,0,"Whey, sweet, fluid","Lactoserum, sucré, liquide",1981-01-01,,01114,
80,80,1,0,"Whey, sweet, dry","Lactoserum, sucré, poudre",1981-01-01,,01115,
83,83,1,0,"Egg, chicken, dried, whole","Oeuf, poule, déshydraté, entier",1981-01-01,,01133,
84,84,1,0,"Egg, chicken, dried, whole, stabilized","Oeuf, poule, déshydraté, entier, stabilisé",1981-01-01,,01134,
85,85,1,0,"Egg, chicken, white, pan dried, flakes","Oeuf, poule, blanc, séché, flocons",1981-01-01,,01135,
86,86,1,0,"Egg, chicken, white, dried, powder, glucose reduced","Oeuf, poule, blanc, déshydraté, poudre, réduit en glucose",1981-01-01,,01136,
87,87,1,0,"Egg, chicken, yolk, dried","Oeuf, poule, jaune, déshydraté",1981-01-01,,01137,
88,88,1,0,"Egg, duck, whole, fresh, raw","Oeuf, canard, entier, frais, cru",1981-01-01,,01138,
89,89,1,0,"Egg, goose, whole, fresh, raw","Oeuf, oie, entier, frais, cru",1981-01-01,,01139,
90,90,1,0,"Egg, quail, whole, fresh, raw","Oeuf, caille, entier, frais, cru",1981-01-01,,01140,
91,91,1,0,"Egg, turkey, whole, fresh, raw","Oeuf, dinde, entier, frais, cru",1981-01-01,,01141,Meleagris gallopavo
92,92,1,0,"Butter, unsalted","Beurre, sans sel",1981-01-01,,01145,
93,93,1,0,"Cheese, parmesan, shredded","Fromage parmesan, râpé en filaments",1981-01-01,,01146,
96,96,1,0,"Cheese, goat, hard, (less than 35% water, 36% M.F.)","Fromage chèvre, dur, (moins de 35% eau, 36% M.G.)",1993-01-01,,01156,
97,97,1,0,"Cheese, goat, semi-soft, (35% to 55% water, 30% M.F.)","Fromage de chèvre, semi-mou, (35% à 55% eau, 30% M.G.)",1993-01-01,,01157,
98,98,1,0,"Cheese, goat, soft, (more than 55% water, 21% M.F.)","Fromage de chèvre, mou, (plus de 55% eau, 21% M.G.)",1993-01-01,,01159,
100,100,1,30,Cheese fondue,Fondue au fromage,1995-01-01,,01163,
101,101,1,0,"Cheese sauce, homemade","Fromage, sauce, faite maison",1995-01-01,,01164,
102,102,1,0,"Cheese, Mexican, queso anejo","Fromage mexicain, queso anejo",1995-01-01,,01165,
