FoodSourceID,FoodSourceCode,FoodSourceDescription,FoodSourceDescriptionF,,
0,0,FOODS BASED ON DATA FROM USDA: NO CHANGES,ALIMENTS BASÉS SUR LE USDA: AUCUNE MODIFICATION APPORTÉE,,
1,1,FOOD BASED ON DATA FROM USDA: SOME NUTRIENTS CHANGED TO MEET CANADIAN REGULATIONS,ALIMENT BASÉ SUR LE USDA: CERTAINS ÉLÉMENTS NUTRITIFS ONT ÉTÉ MODIFIÉS POUR SE CONFORMER À LA RÉGLEMENTATION CANADIENNE,,
3,3,FOOD BASED ON DATA FROM USDA: SOME NUTRIENTS ANALYZED IN THE CANADIAN PRODUCT,ALIMENT BASÉ SUR LE USDA: CERTAINS ÉLÉMENTS NUTRITIFS ONT ÉTÉ ANALYSÉS DANS LE PRODUIT CANADIEN,,
4,4,FOOD BASED ON DATA FROM USDA: SOME NUTRIENTS CALCULATED IN THE CANADIAN PRODUCT,ALIMENT BASÉ SUR LE USDA: CERTAINS ÉLÉMENTS NUTRITIFS ONT ÉTÉ CALCULÉS DANS LE PRODUIT CANADIEN,,
6,6,FOOD BASED ON DATA FROM USDA: SOME VALUES SUPPLIED BY MANUFACTURERS OF THE CANADIAN PRODUCT,ALIMENT BASÉ SUR LE USDA: CERTAINES VALEURS ONT ÉTÉ FOURNIES PAR LE MANUFACTURIER DU PRODUIT CANADIEN,,
9,9,DATA SUPPLIED BY AN INTERNATIONAL DATABASE OTHER THAN USDA,DONNÉES PROVENANT D'UNE BASE DE DONNÉES AUTRE QUE LE USDA,,
20,20,"FOOD AVAILABLE IN THE CANADIAN FOOD SUPPLY, BUT NOT FOUND IN THE USDA: NO CHANGES FROM NUTRITION CANADA SURVEY (1970-1972)","ALIMENT DISPONIBLE SUR LE MARCHÉ CANADIEN, MAIS NON RETROUVÉ DANS LE USDA: AUCUNE MODIFICATION À LA BASE DE DONNÉES DE L'ENQUÊTE NATIONALE DE NUTRITION CANADA (1970-1972)",,
23,23,"FOOD AVAILABLE IN THE CANADIAN FOOD SUPPLY, MAJOR NUTRIENTS ANALYZED IN THE CANADIAN PRODUCT","ALIMENT DISPONIBLE SUR LE MARCHÉ CANADIEN, LA VALEUR DES PRICIPAUX ÉLÉMENTS NUTRITIFS  A ÉTÉ ANALYSÉE DANS LE PRODUIT CANADIEN",,
24,24,MAJOR NUTRIENTS CALCULATED IN THE CANADIAN PRODUCT;  NOT A SNAP-CAN FOOD,ÉLÉMENTS NUTRITIFS PRINCIPAUX CALCULÉS DANS LE PRODUIT CANADIEN; N'EST PAS UN ALIMENT DE PÉAN-CAN,,
26,26,"FOOD AVAILABLE IN THE CANADIAN FOOD SUPPLY, BUT NOT FOUND IN USDA: NUTRIENT VALUES SUPPLIED BY MANUFACTURERS OF THE CANADIAN PRODUCT","ALIMENT DISPONIBLE SUR LE MARCHÉ CANADIEN, MAIS NON RETROUVÉ DANS LE USDA: LA VALEUR DES ÉLÉMENTS NUTRITIFS A ÉTÉ FOURNIE PAR LES MANUFACTURIERS DU PRODUIT",,
28,28,TRADITIONAL FOOD,ALIMENT TRADITIONNEL,,
29,10,FOOD BASED ON DATA FROM USDA: SOME NUTRIENT ANALYZED IN THE CANADIAN PRODUCT.  FOOD HAS BEEN DELETED FROM USDA,ALIMENT BASÉ SUR LE USDA: LA VALEUR DE CERTAINS ÉLÉMENTS NUTRITIFS A ÉTÉ ANALYSÉE DANS LE PRODUIT CANADIEN.  ALIMENT RETIRÉ DE L'USDA.,,
30,11,FOOD BASED ON DATA FROM USDA.  FOOD HAS BEEN DELETED FROM USDA,ALIMENT BASÉ SUR LE USDA.  ALIMENT RETIRÉ DE L'USDA,,
35,12,FOOD BASED ON DATA FROM USDA: INFORMATION FROM USDA SURVEY FILES,ALIMENT BASÉ SUR LE USDA: INFORMATION PROVIENT DES FICHIERS DES ENQUÊTES,,
36,35,CNF RECIPE COMPILATION,COMPILATION DE RECETTES FCEN,,
38,37,CNF Sampling and Analysis Program (SNAP-CAN),Programme d'échantillonage et d'analyse du FCÉN (PÉAÉN-CAN),,
