MeasureID,MeasureDescription,MeasureDescriptionF,,
6,1 fish (500 g),1 poisson (500 g),,
7,1 lobster (900 g),1 homard (900 g),,
8,1 abalone,1 ormeau,,
9,1 anchovy,1 anchois,,
11,1 balsam-pear,1 margose,,
12,1 bar,1 barre,,
13,1 bar (75 ml),1 barre (75 ml),,
14,1 beet (5 cm dia),1 betterave (5 cm dia),,
15,1 biscuit,1 biscuit pour le thé  (poudre à pâte),,
16,1 biscuit ( 2.5 cm x 5.7 cm dia),1 biscuit (2.5 cm x 5.7 cm dia),,
17,1 biscuit (1 cm x 9 cm dia),1 biscuit (1 cm x 9 cm dia),,
20,1 biscuit (2.5 cm x 6.4 cm dia),1 biscuit (2.5 cm x 6.4 cm dia),,
23,1 block,1 bloc,,
24,1 box,1 boîte,,
25,1 braided loaf,1 pain tressé,,
26,1 bulb,1 bulbe,,
27,1 burger,1 hambourgeois,,
28,1 cake,1 gâteau,,
29,"1 cake (2 layer, 20 cm dia)","1 gâteau (2 étages, 20 cm dia)",,
30,"1 cake (2 layer, 23 cm dia)","1 gâteau (2 étages, 23 cm dia)",,
31,1 cake (20 cm x 20 cm),1 gâteau (20 cm x 20 cm),,
34,1 cake (25.4 cm dia tube),"1 gâteau (25,4 cm dia tube)",,
36,1 cake (5 cm x 20 cm dia),1 gâteau (5 cm x 20 cm dia),,
37,1 can,1 cannette / boîte de conserve,,
38,1 can (284 ml),1 cannette (284 ml),,
39,1 can (355 ml),1 cannette (355 ml),,
40,1 can diluted,1 cannette/boîte diluée,,
42,1 cheesefurter,1 saucisse au fromage,,
43,1 chestnut,1 marron,,
44,1 chimichanga,1 chimichanga,,
45,1 chop,1 côtelette,,
46,1 chop (113 g),1 côtelette (113 g),,
47,1 chop (151 g),1 côtelette (151 g),,
48,1 cone,1 cornet,,
49,1 cookie,1 biscuit,,
51,1 cookie (0.9 cm x 7.6 cm dia),"1 biscuit (0,9 cm x 7,6 cm dia)",,
53,1 cookie (4.1 cm x 4.1 cm),"1 biscuit (4,1 cm x 4,1 cm)",,
54,1 cookie (5.1 cm dia),"1 biscuit (5,1 cm dia)",,
55,1 cookie (5.1 cm x 5.1 cm),"1 biscuit (5,1 cm x 5,1 cm)",,
56,1 cookie (5.7 cm dia),"1 biscuit (5,7 cm dia)",,
59,1 cookie (6.7 cm dia),1 biscuit (6.7 cm dia),,
60,1 cookie (7 cm dia),1 biscuit (7 cm dia),,
61,1 cookie (7 cm x 2.2 cm),"1 biscuit (7 cm x 2,2 cm)",,
62,1 cookie (7.6 cm dia),"1 biscuit (7,6 cm dia)",,
63,1 cookie (7.9 cm x 3.2 cm x 0.9 cm),"1 biscuit (7,9 cm x 3,2 cm x 0,9 cm)",,
64,1 biscuit (3.5 cm x 8.3 cm),"1 biscuit (3,5 cm x 8,3 cm)",,
