FoodID,RefuseID,RefuseAmount,RefuseDateOfEntry
2,750,0,1997-05-01
4,750,0,1997-05-01
5,750,0,1997-05-01
6,750,0,1997-05-01
7,750,0,1997-05-01
8,750,0,1997-05-01
9,750,0,1997-05-01
10,750,0,1997-05-01
13,750,0,1997-05-01
14,750,0,1997-05-01
16,750,0,1997-05-01
17,750,0,1997-05-01
18,750,0,1997-05-01
19,750,0,1997-05-01
20,750,0,1997-05-01
21,750,0,1997-05-01
22,750,0,1997-05-01
23,750,0,1997-05-01
24,750,0,1997-05-01
25,750,0,1997-05-01
26,750,0,1997-05-01
27,750,0,1997-05-01
28,750,0,1997-05-01
29,750,0,1997-05-01
30,750,0,1997-05-01
31,750,0,1997-05-01
32,750,0,1997-05-01
33,750,0,1997-05-01
34,750,0,1997-05-01
35,750,0,1997-05-01
37,750,0,1997-05-01
38,750,0,1997-05-01
39,750,0,1997-05-01
40,750,0,1997-05-01
41,750,0,1997-05-01
42,750,0,1997-05-01
43,750,0,1997-05-01
44,750,0,1997-05-01
45,750,0,1997-05-01
46,750,0,1997-05-01
47,750,0,1997-05-01
48,750,0,1997-05-01
51,750,0,1997-05-01
52,750,0,1997-05-01
54,750,0,1997-05-01
55,750,0,1997-05-01
56,750,0,1997-05-01
57,750,0,1997-05-01
58,750,0,1997-05-01
59,750,0,1997-05-01
60,750,0,1997-05-01
61,750,0,1997-05-01
63,750,0,1997-05-01
66,750,0,1997-05-01
67,750,0,1997-05-01
68,750,0,1997-05-01
69,750,0,1997-05-01
70,750,0,1997-05-01
71,750,0,1997-05-01
72,750,0,1997-05-01
73,750,0,1997-05-01
74,750,0,1997-05-01
75,750,0,1997-05-01
76,750,0,1997-05-01
77,750,0,1997-05-01
78,750,0,1997-05-01
79,750,0,1997-05-01
80,750,0,1997-05-01
83,750,0,1997-05-01
84,750,0,1997-05-01
85,750,0,1997-05-01
86,750,0,1997-05-01
87,750,0,1997-05-01
88,750,12,1997-05-01
89,750,13,1997-05-01
90,750,8,1997-05-01
91,750,12,1997-05-01
92,750,0,1997-05-01
93,750,0,1997-05-01
96,750,0,1997-05-01
97,750,0,1997-05-01
98,750,0,1997-05-01
100,750,0,1997-05-01
200,750,0,1997-05-01
600,751,33,2000-10-13
600,752,13,2000-10-13
600,750,46,1997-05-01
700,750,0,1997-05-01
800,750,0,1997-05-01
1000,750,0,1997-05-01
1200,750,0,1997-05-01
1300,750,0,1997-05-01
1400,750,0,1997-05-01
1500,806,6,2000-10-26
1500,750,6,1997-05-01
1600,750,64,1997-05-01
1600,817,64,2000-10-26
1700,750,0,1997-05-01
1800,751,31,2000-10-16
1800,750,31,1997-05-01
1900,750,22,1997-05-01
1900,758,11,2000-10-16
1900,781,11,2000-10-16
2000,750,0,1997-05-01
2100,835,31,2003-06-04
2100,750,31,1997-05-01
2200,750,0,1997-05-01
2300,750,0,1997-05-01
2400,750,0,1997-05-01
2500,750,33,1997-05-01
2500,1305,33,2003-07-14
2600,750,34,1997-05-01
2600,821,34,2000-10-27
2700,750,0,1997-05-01
2900,750,0,2008-09-18
3000,750,70,2000-10-19
3100,750,76,2000-10-20
3200,750,64,2000-10-19
3300,750,0,1997-05-01
3400,750,0,1997-05-01
3500,751,32,2000-10-25
3500,750,32,1997-05-01
3600,750,2,1997-05-01
3600,782,2,2000-10-25
3700,750,0,1997-05-01
3800,750,0,1997-05-01
3900,750,0,1997-05-01
4000,750,0,1997-05-01
4300,750,0,1997-05-01
4400,750,0,1997-05-01
4500,750,0,1997-05-01
4600,750,0,1997-05-01
4800,751,24,2003-10-20
4800,750,24,2003-10-20
5300,750,0,2004-04-30
5400,750,0,2004-05-21
5600,750,0,2004-05-03
5800,750,0,2005-02-11
5900,750,0,2005-03-17
6000,750,11,2006-06-22
101,750,0,1997-05-01
102,750,0,1997-05-01
103,750,0,1997-05-01
104,750,0,1997-05-01
105,750,0,1997-05-01
106,750,0,1997-05-01
107,750,0,1997-05-01
108,750,0,1997-05-01
109,750,0,1997-05-01
110,750,0,1997-05-01
111,750,0,1997-05-01
112,750,0,1997-05-01
113,750,0,1997-05-01
114,750,0,1997-05-01
115,750,0,1997-05-01
116,750,0,1997-05-01
117,750,0,1997-05-01
118,750,0,1997-05-01
119,750,0,1997-05-01
120,750,0,1997-05-01
122,750,0,1997-05-01
123,750,0,1997-05-01
124,750,0,1997-05-01
125,750,12,2003-11-26
126,750,0,1997-05-01
127,750,0,1997-05-01
129,750,0,1997-05-01
130,750,12,1997-05-01
132,750,0,1997-05-01
133,750,0,1997-05-01
134,750,0,1997-05-01
136,750,0,1997-05-01
137,750,0,1997-05-01
138,750,0,1997-05-01
139,750,0,1997-05-01
140,750,0,1997-05-01
147,750,0,1997-05-01
150,750,0,1997-05-01
151,750,0,1997-05-01
152,750,0,1997-05-01
153,750,0,1997-05-01
160,750,0,1997-05-01
163,750,0,1997-05-01
164,750,0,1997-05-01
169,750,0,1997-05-01
170,750,0,1997-05-01
171,750,0,1997-05-01
172,750,0,1997-05-01
173,750,0,1997-05-01
174,750,0,1997-05-01
175,750,0,1997-05-01
176,750,0,1997-05-01
177,750,0,1997-05-01
178,750,0,1997-05-01
179,750,0,1997-05-01
180,750,0,1997-05-01
181,750,0,1997-05-01
182,750,0,1997-05-01
183,750,0,1997-05-01
