FoodID,YieldID,YieldAmount,YieldDateofEntry,,,,
57,985,22,2004-08-12,,,,
57,1391,1,2004-08-12,,,,
66,985,33,2004-08-12,,,,
67,985,25,2004-08-12,,,,
112,985,133,2012-08-28,,,,
115,993,24,2004-08-12,,,,
126,940,69,2001-07-04,,,,
127,940,31,2001-07-04,,,,
134,985,24,2004-08-12,,,,
140,985,133,2012-08-28,,,,
153,985,133,2012-08-28,,,,
555,464,10,1997-05-01,,,,
556,682,102,2006-10-30,,,,
556,686,340,2003-10-28,,,,
556,1395,1027,2003-10-28,,,,
557,682,67,2006-10-30,,,,
557,686,234,2003-10-28,,,,
557,1395,707,2003-10-28,,,,
558,682,71,2006-10-31,,,,
558,686,226,2003-10-28,,,,
558,1395,683,2003-10-28,,,,
559,682,74,2006-11-01,,,,
559,686,248,2003-10-28,,,,
559,1395,750,2003-10-28,,,,
560,686,304,2003-10-28,,,,
561,682,102,2006-10-30,,,,
561,686,309,2003-10-02,,,,
561,1398,932,2003-10-02,,,,
562,682,67,2006-10-30,,,,
562,686,207,2003-10-02,,,,
563,682,71,2006-10-31,,,,
563,686,196,2003-10-02,,,,
563,1398,598,2003-10-02,,,,
564,682,74,2006-11-01,,,,
564,686,221,2003-10-02,,,,
565,686,217,2003-10-02,,,,
565,1398,658,2003-10-02,,,,
566,686,171,2003-10-02,,,,
566,1398,516,2003-10-02,,,,
566,1644,67,2006-11-01,,,,
567,682,78,2006-10-30,,,,
567,686,161,2003-10-02,,,,
567,1398,486,2003-10-02,,,,
568,682,78,2006-10-30,,,,
568,686,173,2003-10-02,,,,
568,1398,524,2003-10-02,,,,
569,686,126,2003-10-02,,,,
570,686,36,2003-10-02,,,,
571,464,1,1997-05-01,,,,
571,686,25,2003-10-02,,,,
572,686,14,2003-10-02,,,,
573,686,15,1997-05-01,,,,
574,686,12,1997-05-01,,,,
575,683,60,2006-11-01,,,,
576,686,2,1997-05-01,,,,
577,683,46,2006-11-01,,,,
578,686,11,1997-05-01,,,,
579,683,63,2006-11-01,,,,
580,686,128,1997-05-01,,,,
581,682,74,2006-10-31,,,,
581,686,125,1997-05-01,,,,
582,682,74,2006-10-31,,,,
582,686,86,1997-05-01,,,,
583,682,67,2006-10-31,,,,
583,686,87,1997-05-01,,,,
584,682,67,2006-11-01,,,,
584,686,99,1997-05-01,,,,
585,686,176,1997-05-01,,,,
586,682,74,2006-10-31,,,,
586,686,184,1997-05-01,,,,
587,682,67,2006-10-30,,,,
587,686,121,1997-05-01,,,,
588,682,71,2006-10-31,,,,
588,686,111,1997-05-01,,,,
589,682,78,2006-11-01,,,,
589,686,121,1997-05-01,,,,
590,686,97,1997-05-01,,,,
591,686,71,1997-05-01,,,,
591,1644,63,2006-11-01,,,,
592,682,78,2006-10-30,,,,
592,686,71,1997-05-01,,,,
593,682,78,2006-10-30,,,,
593,686,78,1997-05-01,,,,
594,686,120,1997-05-01,,,,
595,686,100,1997-05-01,,,,
595,1644,67,2006-11-01,,,,
596,682,78,2006-10-30,,,,
596,686,89,1997-05-01,,,,
597,682,78,2006-10-30,,,,
597,686,95,1997-05-01,,,,
598,686,79,1997-05-01,,,,
598,1642,67,2006-10-31,,,,
599,686,49,1997-05-01,,,,
599,1642,42,2006-10-31,,,,
600,686,39,1997-05-01,,,,
600,1643,39,2006-11-01,,,,
601,682,74,2006-10-31,,,,
601,686,93,1997-05-01,,,,
602,682,74,2006-10-31,,,,
602,686,65,1997-05-01,,,,
603,686,57,1997-05-01,,,,
603,1644,63,2006-11-01,,,,
604,686,47,1997-05-01,,,,
604,1642,63,2006-11-01,,,,
605,686,32,1997-05-01,,,,
605,1642,53,2006-11-01,,,,
606,686,28,1997-05-01,,,,
606,1642,49,2006-11-01,,,,
607,686,111,1997-05-01,,,,
608,686,105,1997-05-01,,,,
608,1642,67,2006-11-01,,,,
609,686,74,1997-05-01,,,,
609,1642,49,2006-11-01,,,,
610,686,76,1997-05-01,,,,
610,1642,49,2006-11-01,,,,
611,686,83,1997-05-01,,,,
611,1642,53,2006-11-01,,,,
612,686,86,1997-05-01,,,,
613,686,62,1997-05-01,,,,
613,1642,67,2006-11-01,,,,
614,686,63,1997-05-01,,,,
614,1643,71,2006-11-01,,,,
615,686,66,1997-05-01,,,,
615,1643,46,2006-11-02,,,,
616,686,17,1997-05-01,,,,
617,686,18,1997-05-01,,,,
617,1642,67,2006-10-31,,,,
618,686,12,1997-05-01,,,,
618,1642,46,2006-10-31,,,,
619,686,12,1997-05-01,,,,
619,1642,46,2006-11-01,,,,
620,686,7,1997-05-01,,,,
621,686,8,1997-05-01,,,,
621,1643,39,2006-11-01,,,,
622,686,6,1997-05-01,,,,
622,1643,39,2006-11-01,,,,
623,682,74,2006-10-31,,,,
623,686,57,1997-05-01,,,,
624,682,67,2006-10-30,,,,
624,686,42,1997-05-01,,,,
625,686,34,1997-05-01,,,,
625,1644,67,2006-11-01,,,,
626,686,32,1997-05-01,,,,
627,686,32,1997-05-01,,,,
627,1642,53,2006-10-30,,,,
628,686,21,1997-05-01,,,,
628,1642,35,2006-10-30,,,,
629,686,23,1997-05-01,,,,
629,1642,35,2006-10-30,,,,
630,686,26,1997-05-01,,,,
630,1642,42,2006-11-01,,,,
631,686,19,1997-05-01,,,,
632,686,13,1997-05-01,,,,
632,1643,28,2006-10-30,,,,
633,686,14,1997-05-01,,,,
633,1642,28,2006-10-30,,,,
634,686,15,1997-05-01,,,,
634,1642,28,2006-10-30,,,,
635,465,15,1997-05-01,,,,
635,682,75,2006-10-31,,,,
636,664,1072,1997-05-01,,,,
636,682,71,2006-10-31,,,,
636,686,259,1997-05-01,,,,
637,686,323,1997-05-01,,,,
638,682,71,2006-10-31,,,,
638,686,231,1997-05-01,,,,
639,686,230,1997-05-01,,,,
640,682,78,2006-10-30,,,,
640,686,188,1997-05-01,,,,
641,465,1,1997-05-01,,,,
641,686,28,1997-05-01,,,,
642,686,17,1997-05-01,,,,
643,686,106,1997-05-01,,,,
644,682,78,2006-10-30,,,,
644,686,86,1997-05-01,,,,
645,463,9,1997-05-01,,,,
646,666,593,1997-05-01,,,,
646,682,74,2006-11-01,,,,
646,686,223,1997-05-01,,,,
647,686,299,1997-05-01,,,,
648,682,74,2006-11-01,,,,
648,686,196,1997-05-01,,,,
649,686,214,1997-05-01,,,,
650,463,1,1997-05-01,,,,
650,686,31,1997-05-01,,,,
651,666,50,1997-05-01,,,,
652,686,98,1997-05-01,,,,
653,682,78,2006-10-30,,,,
653,686,71,1997-05-01,,,,
654,686,116,1997-05-01,,,,
655,682,78,2006-10-30,,,,
655,686,80,1997-05-01,,,,
657,682,71,2006-10-31,,,,
657,686,240,1997-05-01,,,,
658,686,327,1997-05-01,,,,
659,682,71,2006-10-31,,,,
659,686,216,1997-05-01,,,,
660,466,1,1997-05-01,,,,
660,686,20,1997-05-01,,,,
661,665,48,2004-02-02,,,,
662,686,316,1997-05-01,,,,
663,686,191,1997-05-01,,,,
663,1642,42,2006-10-30,,,,
664,686,151,1997-05-01,,,,
665,686,110,1997-05-01,,,,
665,1643,35,2006-10-30,,,,
666,686,11,1997-05-01,,,,
667,686,263,1997-05-01,,,,
668,686,80,1997-05-01,,,,
669,686,353,1997-05-01,,,,
670,686,207,1997-05-01,,,,
671,686,204,1997-05-01,,,,
672,686,158,1997-05-01,,,,
673,686,12,1997-05-01,,,,
674,686,396,1997-05-01,,,,
675,686,303,1997-05-01,,,,
676,686,409,1997-05-01,,,,
677,686,359,1997-05-01,,,,
678,686,186,1997-05-01,,,,
679,686,109,1997-05-01,,,,
680,686,446,1997-05-01,,,,
681,686,377,1997-05-01,,,,
682,686,229,1997-05-01,,,,
683,686,327,1997-05-01,,,,
684,686,277,1997-05-01,,,,
685,686,166,1997-05-01,,,,
688,686,314,2010-03-18,,,,
689,686,229,2010-03-22,,,,
689,502455,51,2010-03-22,,,,
690,686,283,2010-03-18,,,,
691,686,208,2010-03-23,,,,
691,1644,73,2010-03-23,,,,
691,502455,45,2010-03-23,,,,
692,686,30,2010-03-23,,,,
693,681,100,2011-05-10,,,,
693,686,19,2010-03-23,,,,
694,470,2,1997-05-01,,,,
694,686,18,1997-05-01,,,,
695,686,11,1998-07-23,,,,
696,686,8,1997-05-01,,,,
697,683,60,2006-11-01,,,,
699,683,46,2006-11-01,,,,
700,686,8,1997-05-01,,,,
701,683,74,2006-11-01,,,,
702,686,13,1997-05-01,,,,
703,686,11,1997-05-01,,,,
703,1642,49,2006-11-01,,,,
704,686,192,2010-03-18,,,,
705,686,142,2010-03-23,,,,
705,502455,54,2010-03-23,,,,
706,686,189,2010-03-19,,,,
707,686,87,2010-03-23,,,,
707,502455,45,2010-03-23,,,,
708,686,174,2010-03-18,,,,
709,686,129,2010-03-23,,,,
709,1644,74,2010-03-23,,,,
709,502455,48,2010-03-23,,,,
710,686,106,2010-03-19,,,,
711,686,79,2010-03-23,,,,
711,1644,72,2010-03-23,,,,
711,502455,40,2010-03-23,,,,
712,686,18,2010-03-19,,,,
713,686,14,2010-03-23,,,,
713,502455,29,2010-03-23,,,,
714,686,157,2010-03-19,,,,
715,686,117,2010-03-23,,,,
715,502455,57,2010-03-23,,,,
716,686,107,2010-03-19,,,,
717,686,73,2010-03-23,,,,
717,502455,49,2010-03-23,,,,
718,686,35,2010-03-19,,,,
719,686,25,2010-03-23,,,,
719,502455,37,2010-03-23,,,,
722,686,325,2010-03-05,,,,
723,686,233,2010-03-05,,,,
723,502455,50,2010-03-05,,,,
724,686,290,2010-03-05,,,,
725,686,212,2010-03-05,,,,
725,1644,74,2010-03-05,,,,
725,502455,46,2010-03-05,,,,
728,686,194,2010-03-05,,,,
729,686,144,2010-03-05,,,,
729,502455,54,2010-03-05,,,,
730,686,131,2010-03-05,,,,
731,686,89,2010-03-05,,,,
731,502455,43,2010-03-05,,,,
732,686,173,2010-03-05,,,,
733,686,131,2010-03-05,,,,
733,1644,76,2010-03-05,,,,
733,502455,54,2010-03-05,,,,
734,686,116,2010-03-05,,,,
735,686,81,2010-03-05,,,,
735,1644,71,2010-03-05,,,,
735,502455,40,2010-03-05,,,,
740,686,156,2010-03-05,,,,
741,686,118,2010-03-16,,,,
741,502455,58,2010-03-16,,,,
742,686,145,2010-02-16,,,,
743,686,110,2010-03-16,,,,
743,1644,76,2010-03-16,,,,
743,502455,54,2010-03-16,,,,
744,686,111,2010-03-05,,,,
745,686,74,2010-03-16,,,,
745,1642,50,2010-03-16,,,,
746,686,101,2010-03-05,,,,
747,686,68,2010-03-16,,,,
747,1644,68,2010-03-16,,,,
747,502455,43,2010-03-16,,,,
748,686,38,2010-03-05,,,,
749,686,26,2010-03-16,,,,
749,1642,35,2010-03-16,,,,
750,686,29,2010-03-05,,,,
751,686,21,2010-03-16,,,,
751,1644,73,2010-03-16,,,,
751,502455,28,2010-03-16,,,,
754,686,328,2010-03-04,,,,
755,686,225,2010-03-15,,,,
755,502455,49,2010-03-15,,,,
756,686,294,2010-02-03,,,,
757,686,207,2010-03-15,,,,
757,1643,71,2010-03-15,,,,
757,502455,44,2010-03-15,,,,
760,686,202,2010-03-04,,,,
761,686,138,2010-03-17,,,,
761,502455,51,2010-03-17,,,,
762,686,117,2010-03-04,,,,
763,686,87,2010-03-15,,,,
763,502455,46,2010-03-17,,,,
764,686,183,2010-02-03,,,,
765,686,128,2010-03-17,,,,
765,1643,70,2010-03-17,,,,
765,502455,47,2010-03-17,,,,
766,686,103,2010-02-03,,,,
767,686,80,2010-03-17,,,,
767,1643,72,2010-03-17,,,,
767,502455,40,2010-03-17,,,,
770,686,167,2010-03-04,,,,
771,686,115,2010-03-17,,,,
771,502455,54,2010-03-17,,,,
772,686,108,2010-03-04,,,,
773,686,74,2010-03-17,,,,
773,1642,50,2010-03-17,,,,
774,686,35,2010-03-04,,,,
775,686,23,2010-03-17,,,,
775,1642,36,2010-03-17,,,,
778,686,298,2010-03-16,,,,
779,686,234,2010-03-16,,,,
779,1642,55,2010-03-16,,,,
780,686,273,2010-03-16,,,,
781,682,74,2006-11-01,,,,
781,686,212,2010-03-16,,,,
781,1642,45,2010-03-16,,,,
781,1644,76,2010-03-16,,,,
784,686,2,2010-03-16,,,,
785,683,59,2010-03-16,,,,
785,686,147,2010-03-16,,,,
786,686,112,2010-03-16,,,,
787,683,48,2010-03-16,,,,
787,686,88,2010-03-16,,,,
788,686,170,2010-03-16,,,,
789,686,132,2010-03-16,,,,
789,922,48,2010-03-16,,,,
789,1644,78,2010-03-16,,,,
790,686,103,2010-03-16,,,,
791,686,80,2010-03-16,,,,
791,922,40,2010-03-16,,,,
791,1644,74,2010-03-16,,,,
794,686,153,2010-03-16,,,,
795,681,62,2010-03-15,,,,
795,686,121,2010-03-15,,,,
796,686,1,2010-03-16,,,,
797,683,50,2010-03-16,,,,
797,686,72,2010-03-16,,,,
798,686,33,2010-03-16,,,,
799,683,41,2010-03-16,,,,
799,686,25,2001-05-18,,,,
816,683,73,2008-02-19,,,,
817,686,270,2003-12-15,,,,
818,686,209,1998-08-04,,,,
818,1642,53,2006-11-01,,,,
819,686,220,1998-08-04,,,,
820,686,99,1998-08-04,,,,
820,1644,49,2006-11-01,,,,
821,686,151,1997-05-01,,,,
821,1644,74,2006-11-01,,,,
822,686,52,2003-12-15,,,,
823,686,37,2003-12-15,,,,
824,686,49,2003-12-15,,,,
832,686,65,2014-09-25,,,,
833,686,35,2014-09-25,,,,
833,1642,32,2006-11-01,,,,
834,686,40,2014-09-25,,,,
834,1642,35,2006-11-01,,,,
835,686,34,2014-09-26,,,,
836,686,26,2014-09-26,,,,
836,1643,25,2006-11-01,,,,
837,686,29,2014-09-26,,,,
